Counties,# of Listings,Most Recent Report,Last Posted,Link
Imperial,1,3-2004,4-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Imperial
Inyo,6,11-2018,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Inyo
Kern,12,6-2010,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Kern
Kings,,,,
Lake,1,8-2002,7-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Lake
Lassen,4,8-2022,8-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Lassen
Los Angeles,20,5-2010,6-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Los+Angeles
Madera,1,10-1988,,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Madera
Marin,,,,
Mariposa,3,8-1992,1-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mariposa
Mendocino,14,7-2008,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mendocino
Merced,,,,
Modoc,3,3-2001,4-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Modoc
Mono,16,7-2020,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mono
Monterey,4,2-2002,3-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Monterey
Napa,1,7-1989,6-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Napa
Nevada,11,7-2006,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Nevada
County,# ofListings,MostRecentReport,LastPosted,
Orange,,,,
Placer,6,9-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Placer
Plumas,8,10-1998,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Plumas
Riverside,9,12-2008,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Riverside
Sacramento,,,,
San Benito,,,,
San Bernardino,11,8-2014,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Bernardino
San Diego,11,10-2019,11-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Diego
San Francisco,,,,
San Joaquin,,,,
San Luis Obispo,1,8-1974,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Luis+Obispo
San Mateo,,,,
Santa Barbara,2,9-2005,4-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Santa+Barbara
Santa Clara,,,,
Santa Cruz,5,10-2004,11-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Santa+Cruz
Shasta,29,7-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Shasta
Sierra,4,8-2002,2-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sierra
Siskiyou,31,12-2011,8-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Siskiyou
Solano,,,,
Sonoma,5,9-2007,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sonoma
Stanislaus,2,8-1962,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Stanislaus
Sutter,1,7-1965,9-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sutter
Tehama,5,2-2008,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tehama
Trinity,21,8-2010,4-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Trinity
Tulare,19,8-2020,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tulare
Tuolumne,38,8-2008,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tuolumne
Ventura,3,9-2008,10-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Ventura
Yolo,,,,
Yuba,1,10-1959,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Yuba
Alameda,2,5-1990,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Alameda
Alpine,9,9-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Alpine
Amador,1,10-2010,10-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Amador
Butte,7,9-2004,12-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Butte
Calaveras,9,10-2024,10-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Calaveras
Colusa,,,,
Contra Costa,1,2-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Contra+Costa
Del Norte,29,3-2019,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Del+Norte
El Dorado,26,10-2022,11-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=El+Dorado
Fresno,19,5-2015,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Fresno
Glenn,,,,
Humboldt,48,9-2024,9-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Humboldt
Imperial,1,3-2004,4-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Imperial
Inyo,6,11-2018,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Inyo
Kern,12,6-2010,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Kern
Kings,,,,
Lake,1,8-2002,7-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Lake
Lassen,4,8-2022,8-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Lassen
Los Angeles,20,5-2010,6-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Los+Angeles
Madera,1,10-1988,,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Madera
Marin,,,,
Mariposa,3,8-1992,1-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mariposa
Mendocino,14,7-2008,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mendocino
Merced,,,,
Modoc,3,3-2001,4-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Modoc
Mono,16,7-2020,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Mono
Monterey,4,2-2002,3-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Monterey
Napa,1,7-1989,6-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Napa
Nevada,11,7-2006,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Nevada
County,# ofListings,MostRecentReport,LastPosted,
Orange,,,,
Placer,6,9-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Placer
Plumas,8,10-1998,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Plumas
Riverside,9,12-2008,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Riverside
Sacramento,,,,
San Benito,,,,
San Bernardino,11,8-2014,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Bernardino
San Diego,11,10-2019,11-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Diego
San Francisco,,,,
San Joaquin,,,,
San Luis Obispo,1,8-1974,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=San+Luis+Obispo
San Mateo,,,,
Santa Barbara,2,9-2005,4-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Santa+Barbara
Santa Clara,,,,
Santa Cruz,5,10-2004,11-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Santa+Cruz
Shasta,29,7-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Shasta
Sierra,4,8-2002,2-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sierra
Siskiyou,31,12-2011,8-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Siskiyou
Solano,,,,
Sonoma,5,9-2007,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sonoma
Stanislaus,2,8-1962,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Stanislaus
Sutter,1,7-1965,9-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Sutter
Tehama,5,2-2008,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tehama
Trinity,21,8-2010,4-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Trinity
Tulare,19,8-2020,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tulare
Tuolumne,38,8-2008,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Tuolumne
Ventura,3,9-2008,10-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Ventura
Yolo,,,,
Yuba,1,10-1959,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Yuba
Adams,,,,
Alamosa,1,8-2000,1-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Alamosa
Arapahoe,,,,
Archuleta,3,6-2004,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Archuleta
Baca,,,,
Bent,,,,
Boulder,3,11-1995,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Boulder
Chaffee,4,5-2020,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Chaffee
Cheyenne,,,,
Clear Creek,1,8-2000,10-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Clear+Creek
Conejos,8,6-2009,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Conejos
Costilla,3,10-2011,6-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Costilla
Crowley,,,,
Custer,1,7-1998,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Custer
Delta,1,9-1994,9-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Delta
Denver,,,,
Dolores,1,8-2003,8-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Dolores
Douglas,3,10-2005,4-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Douglas
Eagle,6,1-2013,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Eagle
El Paso,7,5-2006,5-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=El+Paso
Elbert,,,,
Fremont,3,2-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Fremont
Garfield,,,,
Gilpin,,,,
Grand,,,,
Gunnison,3,8-2004,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Gunnison
Hinsdale,4,6-2021,7-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Hinsdale
Huerfano,1,5-1994,9-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Huerfano
Jackson,3,9-1996,1-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Jackson
Jefferson,3,10-2014,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Jefferson
Kiowa,,,,
Kit Carson,,,,
County,# ofListings,MostRecentReport,LastPosted,
La Plata,1,10-2008,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=La+Plata
Lake,8,9-2009,9-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Lake
Larimer,8,5-2019,8-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Larimer
Las Animas,1,4-2005,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Las+Animas
Lincoln,,,,
Logan,,,,
Mesa,2,5-1999,6-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Mesa
Mineral,,,,
Moffat,3,11-2006,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Moffat
Montezuma,3,10-2004,6-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Montezuma
Montrose,1,5-1977,1-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Montrose
Morgan,,,,
Otero,,,,
Ouray,1,8-1996,10-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Ouray
Park,13,8-2018,2-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Park
Phillips,,,,
Pitkin,5,9-2008,2-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Pitkin
Prowers,,,,
Pueblo,1,12-1982,4-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Pueblo
Rio Blanco,1,10-2005,6-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Rio+Blanco
Rio Grande,,,,
Routt,5,11-2005,10-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Routt
Saguache,,,,
San Juan,3,6-2008,3-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=San+Juan
San Miguel,,,,
Sedgwick,,,,
Summit,5,7-2019,10-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Summit
Teller,9,8-2013,8-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Teller
Washington,,,,
Weld,1,10-1972,9-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Weld
Yuma,,,,
Adams,,,,
Alamosa,1,8-2000,1-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Alamosa
Arapahoe,,,,
Archuleta,3,6-2004,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Archuleta
Baca,,,,
Bent,,,,
Boulder,3,11-1995,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Boulder
Chaffee,4,5-2020,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Chaffee
Cheyenne,,,,
Clear Creek,1,8-2000,10-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Clear+Creek
Conejos,8,6-2009,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Conejos
Costilla,3,10-2011,6-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Costilla
Crowley,,,,
Custer,1,7-1998,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Custer
Delta,1,9-1994,9-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Delta
Denver,,,,
Dolores,1,8-2003,8-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Dolores
Douglas,3,10-2005,4-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Douglas
Eagle,6,1-2013,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Eagle
El Paso,7,5-2006,5-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=El+Paso
Elbert,,,,
Fremont,3,2-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Fremont
Garfield,,,,
Gilpin,,,,
Grand,,,,
Gunnison,3,8-2004,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Gunnison
Hinsdale,4,6-2021,7-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Hinsdale
Huerfano,1,5-1994,9-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Huerfano
Jackson,3,9-1996,1-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Jackson
Jefferson,3,10-2014,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Jefferson
Kiowa,,,,
Kit Carson,,,,
County,# ofListings,MostRecentReport,LastPosted,
La Plata,1,10-2008,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=La+Plata
Lake,8,9-2009,9-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Lake
Larimer,8,5-2019,8-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Larimer
Las Animas,1,4-2005,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Las+Animas
Lincoln,,,,
Logan,,,,
Mesa,2,5-1999,6-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Mesa
Mineral,,,,
Moffat,3,11-2006,3-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Moffat
Montezuma,3,10-2004,6-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Montezuma
Montrose,1,5-1977,1-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Montrose
Morgan,,,,
Otero,,,,
Ouray,1,8-1996,10-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Ouray
Park,13,8-2018,2-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Park
Phillips,,,,
Pitkin,5,9-2008,2-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Pitkin
Prowers,,,,
Pueblo,1,12-1982,4-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Pueblo
Rio Blanco,1,10-2005,6-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Rio+Blanco
Rio Grande,,,,
Routt,5,11-2005,10-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Routt
Saguache,,,,
San Juan,3,6-2008,3-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=San+Juan
San Miguel,,,,
Sedgwick,,,,
Summit,5,7-2019,10-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Summit
Teller,9,8-2013,8-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Teller
Washington,,,,
Weld,1,10-1972,9-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=co&county=Weld
Yuma,,,,
Fairfield,5,10-2023,5-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Fairfield
Hartford,2,8-2018,6-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Hartford
Litchfield,11,7-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Litchfield
Middlesex,3,10-2019,12-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Middlesex
County,# ofListings,MostRecentReport,LastPosted,
New Haven,,,,
New London,3,10-2019,9-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=New+London
Tolland,,,,
Windham,1,5-2009,7-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Windham
Fairfield,5,10-2023,5-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Fairfield
Hartford,2,8-2018,6-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Hartford
Litchfield,11,7-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Litchfield
Middlesex,3,10-2019,12-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Middlesex
County,# ofListings,MostRecentReport,LastPosted,
New Haven,,,,
New London,3,10-2019,9-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=New+London
Tolland,,,,
Windham,1,5-2009,7-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ct&county=Windham
Kent,,,,
New Castle,,,,
County,# ofListings,MostRecentReport,LastPosted,
Sussex,5,11-2012,9-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=de&county=Sussex
Kent,,,,
New Castle,,,,
County,# ofListings,MostRecentReport,LastPosted,
Sussex,5,11-2012,9-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=de&county=Sussex
Alachua,4,10-2012,11-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Alachua
Baker,2,4-2006,10-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Baker
Bay,4,7-2015,8-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Bay
Bradford,2,6-2012,1-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Bradford
Brevard,7,4-2015,8-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Brevard
Broward,12,4-2007,8-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Broward
Calhoun,1,9-2011,5-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Calhoun
Charlotte,6,5-2012,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Charlotte
Citrus,4,10-2010,8-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Citrus
Clay,17,2-2024,8-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Clay
Collier,21,11-2012,9-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Collier
Columbia,1,,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Columbia
Dade,6,11-2010,6-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Dade
De Soto,,,,
Dixie,1,2-1998,8-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Dixie
Duval,7,7-2012,11-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Duval
Escambia,4,3-2023,11-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Escambia
Flagler,3,9-2014,5-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Flagler
Franklin,,,,
Gadsden,2,9-2005,3-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Gadsden
Gilchrist,1,11-1998,8-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Gilchrist
Glades,,,,
Gulf,1,1-1998,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Gulf
Hamilton,,,,
Hardee,,,,
Hendry,2,2-1982,8-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Hendry
Hernando,4,12-2016,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Hernando
Highlands,1,3-2006,10-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=fl&county=Highlands
